Algorithm,Instance,Result
Alg.1,Inst.1,219.454
Alg.1,Inst.2,220.746
Alg.1,Inst.3,256.644
Alg.1,Inst.4,259.267
Alg.1,Inst.5,297.202
Alg.1,Inst.6,284.507
Alg.1,Inst.7,507.995
Alg.1,Inst.8,507.995
Alg.1,Inst.9,383.982
Alg.1,Inst.10,443.008
Alg.1,Inst.11,443.008
Alg.1,Inst.12,350.42
Alg.1,Inst.13,2027.2
Alg.1,Inst.14,629.121
Alg.1,Inst.15,631.946
Alg.1,Inst.16,405.923
Alg.1,Inst.17,428.745
Alg.1,Inst.18,791.689
Alg.1,Inst.19,482.242
Alg.1,Inst.20,289.636
Alg.1,Inst.21,686.599
Alg.1,Inst.22,754.463
Alg.1,Inst.23,667.182
Alg.1,Inst.24,725.455
Alg.1,Inst.25,915.744
Alg.1,Inst.26,828.235
Alg.1,Inst.27,899.932
Alg.1,Inst.28,924.729
Alg.1,Inst.29,1115.8
Alg.1,Inst.30,1098.73
Alg.1,Inst.31,1316.4
Alg.1,Inst.32,1327.78
Alg.1,Inst.33,1313.11
Alg.1,Inst.34,574.769
Alg.1,Inst.35,759.179
Alg.1,Inst.36,655.438
Alg.2,Inst.1,219.454
Alg.2,Inst.2,219.454
Alg.2,Inst.3,256.644
Alg.2,Inst.4,256.644
Alg.2,Inst.5,283.165
Alg.2,Inst.6,286.643
Alg.2,Inst.7,485.524
Alg.2,Inst.8,489.553
Alg.2,Inst.9,383.982
Alg.2,Inst.10,443.008
Alg.2,Inst.11,443.008
Alg.2,Inst.12,339.666
Alg.2,Inst.13,2072.5
Alg.2,Inst.14,590.736
Alg.2,Inst.15,587.573
Alg.2,Inst.16,390.713
Alg.2,Inst.17,389.154
Alg.2,Inst.18,804.539
Alg.2,Inst.19,488.033
Alg.2,Inst.20,254.619
Alg.2,Inst.21,673.694
Alg.2,Inst.22,754.463
Alg.2,Inst.23,658.776
Alg.2,Inst.24,666.383
Alg.2,Inst.25,921.853
Alg.2,Inst.26,777.233
Alg.2,Inst.27,871.066
Alg.2,Inst.28,916.166
Alg.2,Inst.29,1115.8
Alg.2,Inst.30,1109.79
Alg.2,Inst.31,1314.63
Alg.2,Inst.32,1238.33
Alg.2,Inst.33,1284.02
Alg.2,Inst.34,558.942
Alg.2,Inst.35,749.587
Alg.2,Inst.36,648.264
Alg.3,Inst.1,222.916
Alg.3,Inst.2,229.029
Alg.3,Inst.3,284.53
Alg.3,Inst.4,259.267
Alg.3,Inst.5,310.388
Alg.3,Inst.6,288.487
Alg.3,Inst.7,507.995
Alg.3,Inst.8,507.995
Alg.3,Inst.9,335.147
Alg.3,Inst.10,443.008
Alg.3,Inst.11,443.008
Alg.3,Inst.12,350.724
Alg.3,Inst.13,2282.14
Alg.3,Inst.14,614.982
Alg.3,Inst.15,581.771
Alg.3,Inst.16,407.956
Alg.3,Inst.17,447.851
Alg.3,Inst.18,814.666
Alg.3,Inst.19,549.838
Alg.3,Inst.20,283.681
Alg.3,Inst.21,699.407
Alg.3,Inst.22,754.463
Alg.3,Inst.23,732.278
Alg.3,Inst.24,725.455
Alg.3,Inst.25,921.853
Alg.3,Inst.26,850.947
Alg.3,Inst.27,957.536
Alg.3,Inst.28,1010.42
Alg.3,Inst.29,1115.8
Alg.3,Inst.30,1085.35
Alg.3,Inst.31,1442.86
Alg.3,Inst.32,1418.41
Alg.3,Inst.33,1313.11
Alg.3,Inst.34,595.86
Alg.3,Inst.35,765.319
Alg.3,Inst.36,681.366
Alg.4,Inst.1,229.31
Alg.4,Inst.2,220.994
Alg.4,Inst.3,261.528
Alg.4,Inst.4,305.878
Alg.4,Inst.5,297.202
Alg.4,Inst.6,297.202
Alg.4,Inst.7,507.995
Alg.4,Inst.8,507.995
Alg.4,Inst.9,349.918
Alg.4,Inst.10,443.008
Alg.4,Inst.11,443.008
Alg.4,Inst.12,385.938
Alg.4,Inst.13,2317.86
Alg.4,Inst.14,674.46
Alg.4,Inst.15,720.061
Alg.4,Inst.16,413.11
Alg.4,Inst.17,405.532
Alg.4,Inst.18,749.878
Alg.4,Inst.19,596.148
Alg.4,Inst.20,259.359
Alg.4,Inst.21,713.388
Alg.4,Inst.22,778.431
Alg.4,Inst.23,719.865
Alg.4,Inst.24,725.455
Alg.4,Inst.25,921.853
Alg.4,Inst.26,787.394
Alg.4,Inst.27,940.938
Alg.4,Inst.28,990.065
Alg.4,Inst.29,1115.8
Alg.4,Inst.30,1109.79
Alg.4,Inst.31,1442.86
Alg.4,Inst.32,1418.41
Alg.4,Inst.33,1313.11
Alg.4,Inst.34,617.344
Alg.4,Inst.35,765.319
Alg.4,Inst.36,681.366
Alg.1,Inst.1,219.454
Alg.1,Inst.2,220.994
Alg.1,Inst.3,256.644
Alg.1,Inst.4,273.788
Alg.1,Inst.5,297.202
Alg.1,Inst.6,286.436
Alg.1,Inst.7,507.995
Alg.1,Inst.8,506.995
Alg.1,Inst.9,383.982
Alg.1,Inst.10,443.008
Alg.1,Inst.11,426.361
Alg.1,Inst.12,356.989
Alg.1,Inst.13,2111.88
Alg.1,Inst.14,623.161
Alg.1,Inst.15,600.449
Alg.1,Inst.16,406.956
Alg.1,Inst.17,428.745
Alg.1,Inst.18,791.689
Alg.1,Inst.19,482.242
Alg.1,Inst.20,289.636
Alg.1,Inst.21,686.599
Alg.1,Inst.22,754.463
Alg.1,Inst.23,667.182
Alg.1,Inst.24,725.455
Alg.1,Inst.25,915.744
Alg.1,Inst.26,828.235
Alg.1,Inst.27,899.932
Alg.1,Inst.28,924.729
Alg.1,Inst.29,1115.8
Alg.1,Inst.30,1098.73
Alg.1,Inst.31,1316.4
Alg.1,Inst.32,1327.78
Alg.1,Inst.33,1313.11
Alg.1,Inst.34,574.769
Alg.1,Inst.35,759.179
Alg.1,Inst.36,655.438
Alg.2,Inst.1,219.454
Alg.2,Inst.2,219.454
Alg.2,Inst.3,256.644
Alg.2,Inst.4,256.644
Alg.2,Inst.5,283.165
Alg.2,Inst.6,286.643
Alg.2,Inst.7,485.524
Alg.2,Inst.8,489.553
Alg.2,Inst.9,383.982
Alg.2,Inst.10,443.008
Alg.2,Inst.11,443.008
Alg.2,Inst.12,339.666
Alg.2,Inst.13,2072.5
Alg.2,Inst.14,590.736
Alg.2,Inst.15,587.573
Alg.2,Inst.16,390.713
Alg.2,Inst.17,389.154
Alg.2,Inst.18,804.539
Alg.2,Inst.19,488.033
Alg.2,Inst.20,254.619
Alg.2,Inst.21,673.694
Alg.2,Inst.22,754.463
Alg.2,Inst.23,658.776
Alg.2,Inst.24,666.383
Alg.2,Inst.25,921.853
Alg.2,Inst.26,777.233
Alg.2,Inst.27,871.066
Alg.2,Inst.28,916.166
